id,中文名,英文名,拉丁学名,分类,子分类,物种,高度,盆器,MOQ,简短描述,详细描述,精选,排序,图片文件夹
duijiebai,对接白蜡,Grafted Chinese Ash,Fraxinus chinensis,potted,mini,对接白蜡,50-150cm,紫砂盆,30盆,对接白蜡，砧木与接穗完美融合,对接白蜡采用中国白蜡为砧木嫁接优良品种，树干粗壮、叶片细小，秋色金黄，是优良的盆景和庭院造型树种。,否,22,盆栽/对接白蜡
yingchun,迎春,Winter Jasmine,Jasminum nudiflorum,potted,mini,迎春,30-80cm,紫砂盆,50盆,迎春花，早春先花后叶金黄灿烂,迎春花为木犀科素馨属落叶灌木，早春先花后叶，金黄色花朵密集，枝条拱形下垂，是盆景和庭院早春观赏的优良树种。,否,23,盆栽/迎春
huoji,火棘,Chinese Firethorn,Pyracantha fortuneana,potted,mini,火棘,30-100cm,紫砂盆,50盆,火棘，红果累累观果观叶,火棘为蔷薇科火棘属常绿灌木，春季白花繁密，秋冬红果累累挂果期长达数月，是观果观叶盆景和绿化的优良树种。,否,24,盆栽/火棘
haitang,海棠,Chinese Flowering Crabapple,Malus spectabilis,potted,mini,海棠,50-150cm,紫砂盆,30盆,海棠花，繁花似锦春意盎然,海棠为蔷薇科苹果属落叶小乔木，春季繁花似锦，花色粉红至白色，秋季红果挂枝，是中国传统名花和盆景常用树种。,否,25,盆栽/海棠
weimiao,卫矛,Winged Spindle Tree,Euonymus alatus,potted,mini,卫矛,50-120cm,紫砂盆,30盆,卫矛，秋色红艳翅果奇特,卫矛为卫矛科卫矛属落叶灌木，枝条常具木栓质翅，秋叶变红，果实奇特开裂后露出红色假种皮，是优良的观叶观果盆景树种。,否,26,盆栽/卫矛
jiziwei,姬紫薇,Dwarf Crape Myrtle,Lagerstroemia indica 'Petite',potted,mini,姬紫薇,20-50cm,紫砂盆,50盆,姬紫薇，矮化品种适合小型盆景,姬紫薇为紫薇的矮化品种，植株低矮紧凑，花期长达百日，花色丰富，是制作中小型盆景和阳台绿化的理想材料。,否,27,盆栽/姬紫薇
changshoumei,长寿梅,Japanese Quince,Chaenomeles japonica,potted,mini,长寿梅（日本贴梗海棠）,20-60cm,紫砂盆,50盆,长寿梅，贴梗海棠经典盆景素材,长寿梅为蔷薇科木瓜属落叶灌木，植株低矮，花朵密集红色，果实黄色，是日本和中国盆景界常用的经典素材，寓意长寿吉祥。,否,28,盆栽/长寿梅（日本贴梗海棠）
meihua,梅花,Japanese Apricot,Prunus mume,potted,mini,梅花,30-100cm,紫砂盆,30盆,梅花，凌寒独放中国十大名花之首,梅花为蔷薇科李属落叶小乔木，冬季先花后叶，傲雪绽放，花香清远，是中国十大名花之首，象征坚韧高洁，是高档盆景和园林观赏树种。,否,29,盆栽/梅花
midong,米冬,Mondo Grass,Ophiopogon japonicus,potted,mini,米冬,5-15cm,营养杯,100盆,米冬草，盆景铺面配草,米冬为百合科沿阶草属常绿草本，植株低矮密集，叶片细长常青，是盆景铺面、庭院镶边和屋顶绿化的优良材料。,否,30,盆栽/米冬
jinyinhua,金银花,Japanese Honeysuckle,Lonicera japonica,potted,mini,金银花,30-100cm,紫砂盆,50盆,金银花，清热解毒观赏药用两用,金银花为忍冬科忍冬属半常绿缠绕藤本，花朵初开白色后变黄色，香气浓郁，是观赏与药用兼具的优良植物，适合盆景和庭院垂直绿化。,否,31,盆栽/金银花
nvzhen,女贞,Glossy Privet,Ligustrum lucidum,potted,mini,女贞,50-150cm,紫砂盆,30盆,女贞，叶色浓绿常青耐寒,女贞为木犀科女贞属常绿乔木，叶片浓绿有光泽，植株适应性强，耐寒耐修剪，是优良的盆景和庭院造型树种。,否,32,盆栽/女贞
zhizihua,栀子花,Cape Jasmine,gardenia jasminoides,potted,mini,栀子花,30-100cm,紫砂盆,50盆,栀子花，洁白芬芳四季常青,栀子花为茜草科栀子属常绿灌木，夏季开花洁白芬芳，叶片浓绿光亮，是中国传统十大香花之一，适合盆景和庭院观赏。,否,33,盆栽/栀子花
poshu,朴树,Chinese Hackberry,Celtis sinensis,potted,mini,朴树,50-200cm,紫砂盆,30盆,朴树，树皮斑驳盆景常用,朴树为大麻科朴属落叶乔木，树皮斑驳古朴，叶片细小，秋色金黄，是制作大型盆景和庭院造型树的优良素材。,否,34,盆栽/朴树
zhichuixing,枝垂富士樱,Weeping Fuji Cherry,Prunus incisa 'Fujikon',potted,mini,枝垂富士樱,50-150cm,紫砂盆,30盆,枝垂富士樱，垂枝樱花高雅脱俗,枝垂富士樱为蔷薇科樱属垂枝品种，春季繁花满枝如瀑布般垂落，花色粉白高雅，是制作垂枝造型盆景的珍贵素材。,否,35,盆栽/枝垂富士樱
yushu,榆树,Chinese Elm,Ulmus parvifolia,potted,mini,榆树,30-100cm,紫砂盆,50盆,榆树，岭南盆景代表树种,榆树为榆科榆属落叶乔木，枝条柔韧易造型，叶片细小密集，是中国岭南派盆景的代表树种，也是初学者入门首选。,否,36,盆栽/榆树
fengshu,枫树,Japanese Maple,Acer palmatum,potted,mini,枫树,30-100cm,紫砂盆,50盆,枫树，秋色红艳日本盆景代表,枫树为槭树科槭属落叶小乔木，叶形优美，秋叶变红，是日本和中国盆景界最受欢迎的树种之一，造型多样。,否,37,盆栽/枫树
huangyang,黄杨,Chinese Boxwood,Buxus sinica,potted,mini,黄杨,30-100cm,紫砂盆,50盆,黄杨，叶片四季常青细腻,黄杨为黄杨科黄杨属常绿灌木，叶片细小浓绿有光泽，生长缓慢寿命长，是制作中小型盆景的经典素材，寓意富贵吉祥。,否,38,盆栽/黄杨
ziteng,紫藤,Chinese Wisteria,Wisteria sinensis,potted,premium,紫藤,藤本2-10m,造型盆,30盆,紫藤，垂枝花瀑蔚为壮观,紫藤为豆科紫藤属大型落叶藤本，春末开花紫色花序下垂如瀑，姿态优美，是制作悬崖式、垂枝式盆景和棚架绿化的优良材料。,否,39,盆栽/紫藤
heisong,黑松,Japanese Black Pine,Pinus thunbergii,potted,mini,黑松,30-100cm,紫砂盆,20盆,黑松，日本盆景三大基石之一,黑松为松科松属常绿乔木，针叶粗硬浓绿，树姿雄伟苍劲，是日本和中国盆景界最受欢迎的松柏类素材，造型以悬崖、临水、直干为经典。,否,40,盆栽/黑松
zhenbai,真柏,Shimpaku Juniper,Juniperus chinensis 'Shimpaku',potted,mini,真柏,30-100cm,紫砂盆,30盆,真柏，日本进口高端盆景素材,真柏为桧柏的优良变异品种，叶片细密翠绿，姿态古朴多变，是日本进口的高端盆景素材，深受盆景收藏家喜爱。,否,41,盆栽/真柏
sanjiaofeng,三角枫,Trident Maple,Acer buergerianum,ornamental,,三角枫,200-500cm,无,50株,三角枫，秋季叶色红艳造型优美,三角枫为槭树科槭属落叶乔木，树姿古朴叶形独特，秋季叶色由黄变红极为艳丽，是优良的园林观赏和庭院造型树种，常用于制作盆景和景观树。,否,42,观赏苗木/造型树/三角枫
wuzhensong,五针松,Japanese White Pine,Pinus parviflora,ornamental,,五针松,100-300cm,无,30株,五针松，针叶细密姿态古朴,五针松为松科松属常绿乔木，针叶五针一束细密翠绿，姿态古朴典雅，是日本和中国盆景与庭院造型的传统名贵树种，寓意长寿吉祥。,否,43,观赏苗木/造型树/五针松
liangjingnvzhen,亮晶女贞,Glossy Privet,Ligustrum lucidum,ornamental,,亮晶女贞,150-300cm,无,80株,亮晶女贞，叶色光亮造型常青,亮晶女贞为木犀科女贞属常绿小乔木，叶片大而光亮，植株挺拔耐修剪，是优良的庭院、行道和色块造景树种，常用于造型和绿篱。,否,44,观赏苗木/造型树/亮晶女贞
kailihaitang,凯丽海棠,Kailey Crabapple,Malus spectabilis,ornamental,,凯丽海棠,100-200cm,无,50株,凯丽海棠，花姿优美新品种,凯丽海棠为蔷薇科苹果属落叶小乔木，春季繁花满枝花色粉红，秋季红果累累，是庭院和行道观赏的优良彩叶彩果树种。,否,45,观赏苗木/造型树/凯丽海棠
beimeifengxiang,北美枫香,American Sweetgum,Liquidambar styraciflua,ornamental,,北美枫香,300-800cm,无,30株,北美枫香，秋叶红艳景观震撼,北美枫香为金缕梅科枫香树属落叶大乔木，原产北美东部，树形雄伟秋叶由绿变黄变红变紫，色彩丰富，是世界著名彩叶观赏和庭院树种。,否,46,观赏苗木/造型树/北美枫香
yueji,月季,Chinese Rose,Rosa chinensis,ornamental,,月季,50-150cm,营养杯,100株,月季，花色丰富四季常开,月季为蔷薇科蔷薇属常绿或半常绿灌木，花色丰富红粉黄白皆有，四季开花连续不断，是世界著名观赏花卉，适合庭院、花坛和切花生产。,否,47,观赏苗木/造型树/月季
guihua,桂花,Sweet Osmanthus,Osmanthus fragrans,ornamental,,桂花,200-500cm,无,50株,桂花，秋日飘香传统名花,桂花为木犀科木犀属常绿小乔木，秋季开花金黄或乳白，香气清雅远溢，是中国传统十大名花之一，适合庭院和行道种植，寓意吉祥富贵。,否,48,观赏苗木/造型树/桂花
yulan,玉兰,Yulan Magnolia,Magnolia denudata,ornamental,,玉兰,300-800cm,无,30株,玉兰，先花后叶洁白高雅,玉兰为木兰科木兰属落叶乔木，早春先花后叶花朵洁白如玉清香远溢，是中国传统庭院名贵树种，象征高洁品格，适合行道和景观节点。,否,2,观赏苗木/造型树/玉兰
limianhongyeshinan,立面红叶石楠,Red Tip Photinia,Photinia × fraseri,ornamental,,立面红叶石楠,150-300cm,无,100株,立面红叶石楠，新叶火红造型多样,立面红叶石楠为蔷薇科石楠属常绿小乔木，新叶火红老叶浓绿对比鲜明，造型丰富（球、柱、绿篱、墙等），是高端景观和庭院造型的优良彩叶树种。,否,50,观赏苗木/造型树/立面红叶石楠
zijing,紫荆,Chinese Redbud,Cercis chinensis,ornamental,,紫荆,200-500cm,无,50株,紫荆，先花后叶满枝红艳,紫荆为豆科紫荆属落叶灌木或小乔木，早春先花后叶花朵簇生于老枝上紫红艳丽，是中国传统庭院观赏树种，象征家庭和美团圆。,否,51,观赏苗木/造型树/紫荆
chamei,茶梅,Sasanqua Camellia,Camellia sasanqua,ornamental,,茶梅,100-300cm,无,50株,茶梅，冬春开花清雅脱俗,茶梅为山茶科山茶属常绿小乔木，秋末至早春开花花色粉红或白色清雅脱俗，是冬季重要的观赏花木，适合庭院和盆栽种植。,否,52,观赏苗木/造型树/茶梅
chahua,茶花,Japanese Camellia,Camellia japonica,ornamental,,茶花,200-500cm,无,30株,茶花，冬春开花雍容华贵,茶花为山茶科山茶属常绿小乔木，冬春开花花朵硕大色彩艳丽，是中国传统十大名花之一，象征高洁优雅，适合庭院和高端景观种植。,否,53,观赏苗木/造型树/茶花
jinzhiguohuai,金枝国槐,Golden Stem Pagoda Tree,Sophora japonica,ornamental,,金枝国槐,300-800cm,无,30株,金枝国槐，冬枝金黄景观独特,金枝国槐为豆科槐属落叶乔木，是国槐的彩枝变种，冬季落叶后枝条呈金黄色极为醒目，是优良的园林彩枝树种，适合行道和景观节点。,否,54,观赏苗木/造型树/金枝国槐
longbai,龙柏,Dragon Juniper,Juniperus chinensis,ornamental,,龙柏,200-500cm,无,50株,龙柏，树姿挺拔造型常青,龙柏为柏科刺柏属常绿乔木，是桧柏的栽培变种，树冠圆柱形挺拔优雅叶色翠绿，是庭院、行道和造型景观的优良常绿树种。,否,55,观赏苗木/造型树/龙柏
simianmu,丝棉木,Winterberry Euonymus,Euonymus bungeanus,ornamental,,丝棉木,300-600cm,无,30株,丝棉木，秋果红艳观赏期长,丝棉木为卫矛科卫矛属落叶小乔木，秋季果实开裂露出红色假种皮鲜艳夺目，叶片秋季变红，是优良的观果观叶园林树种。,否,56,观赏苗木/观赏树/丝棉木
wujiu,乌桕,Chinese Tallow,Triadica sebifera,ornamental,,乌桕,300-800cm,无,30株,乌桕，秋叶红艳观叶观果,乌桕为大戟科乌桕属落叶乔木，秋季叶色由绿变黄变红极为艳丽，冬季白色种子挂满枝头，是优良的观叶观果园林树种。,否,57,观赏苗木/观赏树/乌桕
yuanbaofeng,元宝枫,Shantung Maple,Acer truncatum,ornamental,,元宝枫,300-800cm,无,30株,元宝枫，秋叶金黄树形优美,元宝枫为槭树科槭属落叶小乔木，叶形似元宝秋季叶色金黄，树形优美，是中国北方重要的园林彩叶树种和行道树。,否,58,观赏苗木/观赏树/元宝枫
shaoqixuanlingmu,少球悬铃木,London Plane,Platanus × acerifolia,ornamental,,少球悬铃木,500-1500cm,无,20株,少球悬铃木，树形雄伟耐污染,少球悬铃木为悬铃木科悬铃木属落叶大乔木，是悬铃木的少球少毛改良品种，树形雄伟生长迅速耐污染，是世界著名行道树和庭荫树种。,否,5,观赏苗木/观赏树/少球悬铃木
wuciqugu,无刺枸骨,Spineless Chinese Holly,Ilex cornuta,ornamental,,无刺枸骨,100-200cm,无,80株,无刺枸骨，叶片光亮造型常青,无刺枸骨为冬青科冬青属常绿灌木，是枸骨的无刺改良品种，叶片厚革质光亮，造型丰富（球、柱、盆景等），是庭院和高档绿化的优良树种。,否,60,观赏苗木/观赏树/无刺枸骨
luanshu,栾树,Goldenrain Tree,Koelreuteria paniculata,ornamental,,栾树,300-800cm,无,30株,栾树，夏花金黄秋果红艳,栾树为无患子科栾树属落叶乔木，夏季开金黄圆锥花序，秋季果实变红，远观如花持续数月，是优良的花果兼赏园林树种。,否,61,观赏苗木/观赏树/栾树
duanshu,椴树,Linden,Tilia,ornamental,,椴树,500-1500cm,无,20株,椴树，树形雄伟花香馥郁,椴树为锦葵科椴树属落叶乔木，树形雄伟夏季开黄白色芳香花朵，是世界著名园林观赏和行道树种，欧美常用作庭院树。,否,62,观赏苗木/观赏树/椴树
jushu,榉树,Japanese Zelkova,Zelkova serrata,ornamental,,榉树,500-1500cm,无,20株,榉树，秋叶红艳树形优美,榉树为榆科榉属落叶大乔木，树形优美秋季叶色变红，是中国传统名贵园林树种，适合行道、庭院和大型景观种植。,否,3,观赏苗木/观赏树/榉树
yinghua,樱花,Japanese Cherry,Prunus serrulata,ornamental,,樱花,300-800cm,无,30株,樱花，春花满树浪漫优雅,樱花为蔷薇科樱属落叶乔木，春季先花后叶花朵繁密如雪或粉红如霞，是世界著名观赏花木，象征浪漫与生命，适合庭院和景观大道。,否,64,观赏苗木/观赏树/樱花
liusu,流苏,Chinese Fringe Tree,Chionanthus retusus,ornamental,,流苏,200-500cm,无,50株,流苏，花白如雪树姿优雅,流苏为木犀科流苏树属落叶小乔木，夏季开白色花朵繁密如雪洁白素雅，是优良的园林观赏和庭院树种，象征纯洁高雅。,否,6,观赏苗木/观赏树/流苏
qiuzibailao,秋紫白蜡,Autumn Purple Ash,Fraxinus americana,ornamental,,秋紫白蜡,500-1500cm,无,20株,秋紫白蜡，秋叶紫红景观震撼,秋紫白蜡为木犀科梣属落叶大乔木，是美国白蜡的栽培变种，秋季叶色由绿变紫红极为壮观，是世界著名彩叶行道树种。,否,66,观赏苗木/观赏树/秋紫白蜡
meirenmei,美人梅,Beauty Plum,Prunus × blireana,ornamental,,美人梅,200-400cm,无,50株,美人梅，花粉叶红观赏期长,美人梅为蔷薇科李属落叶小乔木，春季开粉红色重瓣花朵美丽优雅，叶片紫红色观赏期长，是优良的庭院和园林观赏彩叶树种。,否,67,观赏苗木/观赏树/美人梅
meiguohongfeng,美国红枫,Red Maple,Acer rubrum,ornamental,,美国红枫,500-1500cm,无,20株,美国红枫，秋叶火红景观震撼,美国红枫为槭树科槭属落叶大乔木，原产北美东部，秋季叶色由绿变黄变橙变红极为壮观，是世界著名彩叶树种和行道树。,否,4,观赏苗木/观赏树/美国红枫
